2026-08-21T22:31:40,MILL_VIB_001,vibration,4.2000,PENDING
2026-08-21T22:31:40,MILL_TEMP_001,temperature,68.5000,PENDING
2026-08-21T22:31:40,GAS_CO_001,gas,12.0000,PENDING
2026-08-21T22:31:41,MILL_VIB_001,vibration,8.9000,PENDING
2026-08-21T22:31:43,GAS_H2S_001,gas,6.2000,PENDING
2026-08-22T07:00:48,MILL_VIB_001,vibration,4.2000,PENDING
2026-08-22T07:00:48,MILL_TEMP_001,temperature,68.5000,PENDING
2026-08-22T07:00:48,GAS_CO_001,gas,12.0000,PENDING
2026-08-22T07:00:50,MILL_VIB_001,vibration,8.9000,PENDING
2026-08-22T07:00:51,GAS_H2S_001,gas,6.2000,PENDING
2026-08-23T17:46:10,MILL_VIB_001,vibration,4.2000,PENDING
2026-08-23T17:46:10,MILL_TEMP_001,temperature,68.5000,PENDING
2026-08-23T17:46:10,GAS_CO_001,gas,12.0000,PENDING
2026-08-23T17:46:12,MILL_VIB_001,vibration,8.9000,PENDING
2026-08-23T17:46:13,GAS_H2S_001,gas,6.2000,PENDING
2026-08-25T05:31:10,MILL_VIB_001,vibration,4.2000,PENDING
2026-08-25T05:31:10,MILL_TEMP_001,temperature,68.5000,PENDING
2026-08-25T05:31:11,GAS_CO_001,gas,12.0000,PENDING
2026-08-25T05:31:12,MILL_VIB_001,vibration,8.9000,PENDING
2026-08-25T05:31:13,GAS_H2S_001,gas,6.2000,PENDING
2026-08-25T05:32:22,MILL_VIB_001,vibration,4.2000,PENDING
2026-08-25T05:32:22,MILL_TEMP_001,temperature,68.5000,PENDING
2026-08-25T05:32:22,GAS_CO_001,gas,12.0000,PENDING
2026-08-25T05:32:23,MILL_VIB_001,vibration,8.9000,PENDING
2026-08-25T05:32:24,GAS_H2S_001,gas,6.2000,PENDING
